code,name,family
SLC28A3 PE,SLC_28_A3,SLC_28
SLC29A1 PE,SLC_29_A1,SLC_29
SLC29A2 PE,SLC_29_A2,SLC_29
SLC29A3 PE,SLC_29_A3,SLC_29
SLC29A4 PE,SLC_29_A4,SLC_29
SLC30A1 PE,SLC_30_A1,SLC_30
SLC30A10 PE,SLC_30_A10,SLC_30
SLC30A2 PE,SLC_30_A2,SLC_30
SLC30A3 PE,SLC_30_A3,SLC_30
SLC30A4 PE,SLC_30_A4,SLC_30
SLC30A5 PE,SLC_30_A5,SLC_30
SLC30A6 PE,SLC_30_A6,SLC_30
SLC30A7 PE,SLC_30_A7,SLC_30
SLC30A8 PE,SLC_30_A8,SLC_30
SLC30A9 PE,SLC_30_A9,SLC_30
SLC31A1 PE,SLC_31_A1,SLC_31
SLC31A2 PE,SLC_31_A2,SLC_31
SLC32A1 PE,SLC_32_A1,SLC_32
SLC33A1 PE,SLC_33_A1,SLC_33
MFSD3 PE,SLC_33_A2,SLC_33
SLC34A1 PE,SLC_34_A1,SLC_34
SLC34A2 PE,SLC_34_A2,SLC_34
SLC34A3 PE,SLC_34_A3,SLC_34
SLC35A1 PE,SLC_35_A1,SLC_35
SLC35A2 PE,SLC_35_A2,SLC_35
SLC35A3 PE,SLC_35_A3,SLC_35
SLC35A4 PE,SLC_35_A4,SLC_35
SLC35A5 PE,SLC_35_A5,SLC_35
SLC35B1 PE,SLC_35_B1,SLC_35
SLC35B2 PE,SLC_35_B2,SLC_35
SLC35B3 PE,SLC_35_B3,SLC_35
SLC35B4 PE,SLC_35_B4,SLC_35
SLC35C1 PE,SLC_35_C1,SLC_35
SLC35C2 PE,SLC_35_C2,SLC_35
SLC35D1 PE,SLC_35_D1,SLC_35
SLC35D2 PE,SLC_35_D2,SLC_35
SLC35D3 PE,SLC_35_D3,SLC_35
SLC35E1 PE,SLC_35_E1,SLC_35
SLC35E2A PE,SLC_35_E2A,SLC_35
SLC35E2B PE,SLC_35_E2B,SLC_35
SLC35E3 PE,SLC_35_E3,SLC_35
SLC35E4 PE,SLC_35_E4,SLC_35
SLC35F1 PE,SLC_35_F1,SLC_35
SLC35F2 PE,SLC_35_F2,SLC_35
SLC35F3 PE,SLC_35_F3,SLC_35
SLC35F4 PE,SLC_35_F4,SLC_35
SLC35F5 PE,SLC_35_F5,SLC_35
SLC35F6 PE,SLC_35_F6,SLC_35
SLC35G1 PE,SLC_35_G1,SLC_35
SLC35G2 PE,SLC_35_G2,SLC_35
SLC35G3 PE,SLC_35_G3,SLC_35
SLC35G4 PE,SLC_35_G4,SLC_35
SLC35G5 PE,SLC_35_G5,SLC_35
SLC35G6 PE,SLC_35_G6,SLC_35
SLC36A1 PE,SLC_36_A1,SLC_36
SLC36A2 PE,SLC_36_A2,SLC_36
SLC36A3 PE,SLC_36_A3,SLC_36
SLC36A4 PE,SLC_36_A4,SLC_36
SLC37A1 PE,SLC_37_A1,SLC_37
SLC37A2 PE,SLC_37_A2,SLC_37
SLC37A3 PE,SLC_37_A3,SLC_37
SLC37A4 PE,SLC_37_A4,SLC_37
SLC38A1 PE,SLC_38_A1,SLC_38
SLC38A10 PE,SLC_38_A10,SLC_38
SLC38A11 PE,SLC_38_A11,SLC_38
SLC38A2 PE,SLC_38_A2,SLC_38
SLC38A3 PE,SLC_38_A3,SLC_38
SLC38A4 PE,SLC_38_A4,SLC_38
SLC38A5 PE,SLC_38_A5,SLC_38
SLC38A6 PE,SLC_38_A6,SLC_38
SLC38A7 PE,SLC_38_A7,SLC_38
SLC38A8 PE,SLC_38_A8,SLC_38
SLC38A9 PE,SLC_38_A9,SLC_38
SLC39A1 PE,SLC_39_A1,SLC_39
SLC39A10 PE,SLC_39_A10,SLC_39
SLC39A11 PE,SLC_39_A11,SLC_39
SLC39A12 PE,SLC_39_A12,SLC_39
SLC39A13 PE,SLC_39_A13,SLC_39
SLC39A14 PE,SLC_39_A14,SLC_39
SLC39A2 PE,SLC_39_A2,SLC_39
SLC39A3 PE,SLC_39_A3,SLC_39
SLC39A4 PE,SLC_39_A4,SLC_39
SLC39A5 PE,SLC_39_A5,SLC_39
SLC39A6 PE,SLC_39_A6,SLC_39
SLC39A7 PE,SLC_39_A7,SLC_39
SLC39A8 PE,SLC_39_A8,SLC_39
SLC39A9 PE,SLC_39_A9,SLC_39
SLC4A1 PE,SLC_4_A1,SLC_4
SLC4A10 PE,SLC_4_A10,SLC_4
SLC4A11 PE,SLC_4_A11,SLC_4
SLC4A2 PE,SLC_4_A2,SLC_4
SLC4A3 PE,SLC_4_A3,SLC_4
SLC4A4 PE,SLC_4_A4,SLC_4
SLC4A5 PE,SLC_4_A5,SLC_4
SLC4A7 PE,SLC_4_A7,SLC_4
SLC4A8 PE,SLC_4_A8,SLC_4
SLC4A9 PE,SLC_4_A9,SLC_4
SLC40A1 PE,SLC_40_A1,SLC_40
SLC41A1 PE,SLC_41_A1,SLC_41
SLC41A2 PE,SLC_41_A2,SLC_41
SLC41A3 PE,SLC_41_A3,SLC_41
RHAG PE,SLC_42_A1,SLC_42
RHBG PE,SLC_42_A2,SLC_42
RHCG PE,SLC_42_A3,SLC_42
SLC43A1 PE,SLC_43_A1,SLC_43
SLC43A2 PE,SLC_43_A2,SLC_43
SLC43A3 PE,SLC_43_A3,SLC_43
SLC44A1 PE,SLC_44_A1,SLC_44
SLC44A2 PE,SLC_44_A2,SLC_44
SLC44A3 PE,SLC_44_A3,SLC_44
SLC44A4 PE,SLC_44_A4,SLC_44
SLC44A5 PE,SLC_44_A5,SLC_44
SLC45A1 PE,SLC_45_A1,SLC_45
SLC45A2 PE,SLC_45_A2,SLC_45
SLC45A3 PE,SLC_45_A3,SLC_45
SLC45A4 PE,SLC_45_A4,SLC_45
SLC46A1 PE,SLC_46_A1,SLC_46
SLC46A2 PE,SLC_46_A2,SLC_46
SLC46A3 PE,SLC_46_A3,SLC_46
SLC47A1 PE,SLC_47_A1,SLC_47
SLC47A2 PE,SLC_47_A2,SLC_47
SLC48A1 PE,SLC_48_A1,SLC_48
SLC49A3 PE,SLC_49_A1,SLC_49
FLVCR1 PE,SLC_49_A2,SLC_49
FLVCR2 PE,SLC_49_A3,SLC_49
SLC49A4 PE,SLC_49_A4,SLC_49
SLC5A1 PE,SLC_5_A1,SLC_5
SLC5A10 PE,SLC_5_A10,SLC_5
SLC5A11 PE,SLC_5_A11,SLC_5
SLC5A12 PE,SLC_5_A12,SLC_5
SLC5A2 PE,SLC_5_A2,SLC_5
SLC5A3 PE,SLC_5_A3,SLC_5
SLC5A4 PE,SLC_5_A4,SLC_5
SLC5A5 PE,SLC_5_A5,SLC_5
SLC5A6 PE,SLC_5_A6,SLC_5
SLC5A7 PE,SLC_5_A7,SLC_5
SLC5A8 PE,SLC_5_A8,SLC_5
SLC5A9 PE,SLC_5_A9,SLC_5
SLC50A1 PE,SLC_50_A1,SLC_50
SLC51A PE,SLC_51_A,SLC_51
SLC51B PE,SLC_51_B,SLC_51
SLC52A1 PE,SLC_52_A1,SLC_52
SLC52A2 PE,SLC_52_A2,SLC_52
SLC52A3 PE,SLC_52_A3,SLC_52
XPR1 PE,SLC_53_A1,SLC_53
MPC1 PE,SLC_54_A1,SLC_54
MPC2 PE,SLC_54_A2,SLC_54
MPC1L PE,SLC_54_A3,SLC_54
LETM1 PE,SLC_55_A1,SLC_55
LETM2 PE,SLC_55_A2,SLC_55
LETMD1 PE,SLC_55_A3,SLC_55
SFXN1 PE,SLC_56_A1,SLC_56
SFXN2 PE,SLC_56_A2,SLC_56
SFXN3 PE,SLC_56_A3,SLC_56
SFXN4 PE,SLC_56_A4,SLC_56
SFXN5 PE,SLC_56_A5,SLC_56
NIPA1 PE,SLC_57_A1,SLC_57
NIPA2 PE,SLC_57_A2,SLC_57
NIPAL1 PE,SLC_57_A3,SLC_57
NIPAL2 PE,SLC_57_A4,SLC_57
NIPAL3 PE,SLC_57_A5,SLC_57
NIPAL4 PE,SLC_57_A6,SLC_57
MAGT1 PE,SLC_58_A1,SLC_58
TUSC3 PE,SLC_58_A2,SLC_58
MFSD2A PE,SLC_59_A1,SLC_59
MFSD2B PE,SLC_59_A2,SLC_59
SLC6A1 PE,SLC_6_A1,SLC_6
SLC6A11 PE,SLC_6_A11,SLC_6
SLC6A12 PE,SLC_6_A12,SLC_6
SLC6A13 PE,SLC_6_A13,SLC_6
SLC6A14 PE,SLC_6_A14,SLC_6
SLC6A15 PE,SLC_6_A15,SLC_6
SLC6A16 PE,SLC_6_A16,SLC_6
SLC6A17 PE,SLC_6_A17,SLC_6
SLC6A18 PE,SLC_6_A18,SLC_6
SLC6A19 PE,SLC_6_A19,SLC_6
SLC6A2 PE,SLC_6_A2,SLC_6
SLC6A20 PE,SLC_6_A20,SLC_6
SLC6A3 PE,SLC_6_A3,SLC_6
SLC6A4 PE,SLC_6_A4,SLC_6
SLC6A5 PE,SLC_6_A5,SLC_6
SLC6A6 PE,SLC_6_A6,SLC_6
SLC6A7 PE,SLC_6_A7,SLC_6
SLC6A8 PE,SLC_6_A8,SLC_6
SLC6A9 PE,SLC_6_A9,SLC_6
MFSD4A PE,SLC_60_A1,SLC_60
MFSD4B PE,SLC_60_A2,SLC_60
MFSD5 PE,SLC_61_A1,SLC_61
ANKH PE,SLC_62_A1,SLC_62
SPNS1,SLC_63_A1,SLC_63
SPNS2,SLC_63_A2,SLC_63
SPNS3,SLC_63_A3,SLC_63
TMEM165 PE,SLC_64_A1,SLC_64
NPC1 PE,SLC_65_A1,SLC_65
NPCL1_HUMAN,SLC_65_A2,SLC_65
PQLC2 PE,SLC_66_A1,SLC_66
PQLC1 PE,SLC_66_A2,SLC_66
PQLC3 PE,SLC_66_A3,SLC_66
CTNS PE,SLC_66_A4,SLC_66
MPDU1 PE,SLC_66_A5,SLC_66
SLC7A1 PE,SLC_7_A1,SLC_7
SLC7A10 PE,SLC_7_A10,SLC_7
SLC7A11 PE,SLC_7_A11,SLC_7
SLC7A13 PE,SLC_7_A13,SLC_7
SLC7A14 PE,SLC_7_A14,SLC_7
SLC7A2 PE,SLC_7_A2,SLC_7
SLC7A3 PE,SLC_7_A3,SLC_7
SLC7A4 PE,SLC_7_A4,SLC_7
SLC7A5 PE,SLC_7_A5,SLC_7
SLC7A6 PE,SLC_7_A6,SLC_7
SLC7A7 PE,SLC_7_A7,SLC_7
SLC7A8 PE,SLC_7_A8,SLC_7
SLC7A9 PE,SLC_7_A9,SLC_7
SLC8A1 PE,SLC_8_A1,SLC_8
SLC8A2 PE,SLC_8_A2,SLC_8
SLC8A3 PE,SLC_8_A3,SLC_8
SLC8B1 PE,SLC_8_B1,SLC_8
SLC9A1 PE,SLC_9_A1,SLC_9
SLC9A2 PE,SLC_9_A2,SLC_9
SLC9A3 PE,SLC_9_A3,SLC_9
SLC9A4 PE,SLC_9_A4,SLC_9
SLC9A5 PE,SLC_9_A5,SLC_9
SLC9A6 PE,SLC_9_A6,SLC_9
SLC9A7 PE,SLC_9_A7,SLC_9
SLC9A8 PE,SLC_9_A8,SLC_9
SLC9A9 PE,SLC_9_A9,SLC_9
SLC9B1 PE,SLC_9_B1,SLC_9
SLC9B2 PE,SLC_9_B2,SLC_9
SLC9C1 PE,SLC_9_C1,SLC_9
SLC9C2 PE,SLC_9_C2,SLC_9
