abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source
NilLug	108931	Nilaparvata_lugens	brown planthopper	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
OncFas	7536	Oncopeltus_fasciatus	large milkweed bug	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
OntTau	166361	Onthophagus_taurus	horned dung beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1
OocBir	2015173	Ooceraea_biroi	clonal raider ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
OpeBru	104452	Operophtera_brumata	winter moth	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
OrcCin	48709	Orchesella_cincta		Collembola	Entognatha	Collembola	OrthoDB 10v1
OruAbi	222816	Orussus_abietinus		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
OryBor	1629725	Oryctes_borbonicus	i5k	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1
PacVen	38123	Pachypsylla_venusta	hackberry petiole gall psyllid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1
PapGla	45779	Papilio_glaucus	eastern tiger swallowtail	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
PapPol	76194	Papilio_polytes	common Mormon	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
PapXut	66420	Papilio_xuthus	Asian swallowtail	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
ParTep	114398	Parasteatoda_tepidariorum	common house spider	Araneae	Arachnida	Arachnida	OrthoDB 10v1
PedHum	121225	Pediculus_humanus		Phthiraptera	Insecta	Phthiraptera	OrthoDB 10v1
PhlPap	29031	Phlebotomus_papatasi	sandfly	Diptera	Insecta	Diptera	OrthoDB 10v1
PhoSen	40077	Phoebis_sennae		Lepidoptera	Insecta	Lepidoptera	i5k
PieRap	64459	Pieris_rapae	cabbage white	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
PluXyl	51655	Plutella_xylostella	diamondback moth	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1
PogBar	144034	Pogonomyrmex_barbatus	red harvester ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
PolCan	91411	Polistes_canadensis	neotropical red paper wasp	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1
